,,
-1.9,0.2,0
-1.9,0.19951,0.013951
-1.9,0.19805,0.027835
-1.9,0.19563,0.041582
-1.9,0.19225,0.055127
-1.9,0.18794,0.068404
-1.9,0.18271,0.081347
-1.9,0.17659,0.093894
-1.9,0.16961,0.10598
-1.9,0.1618,0.11756
-1.9,0.15321,0.12856
-1.9,0.14387,0.13893
-1.9,0.13383,0.14863
-1.9,0.12313,0.1576
-1.9,0.11184,0.16581
-1.9,0.1,0.17321
-1.9,0.087674,0.17976
-1.9,0.074921,0.18544
-1.9,0.061803,0.19021
-1.9,0.048384,0.19406
-1.9,0.03473,0.19696
-1.9,0.020906,0.1989
-1.9,0.0069799,0.19988
-1.9,-0.0069799,0.19988
-1.9,-0.020906,0.1989
-1.9,-0.03473,0.19696
-1.9,-0.048384,0.19406
-1.9,-0.061803,0.19021
-1.9,-0.074921,0.18544
-1.9,-0.087674,0.17976
-1.9,-0.1,0.17321
-1.9,-0.11184,0.16581
-1.9,-0.12313,0.1576
-1.9,-0.13383,0.14863
-1.9,-0.14387,0.13893
-1.9,-0.15321,0.12856
-1.9,-0.1618,0.11756
-1.9,-0.16961,0.10598
-1.9,-0.17659,0.093894
-1.9,-0.18271,0.081347
-1.9,-0.18794,0.068404
-1.9,-0.19225,0.055127
-1.9,-0.19563,0.041582
-1.9,-0.19805,0.027835
-1.9,-0.19951,0.013951
-1.9,-0.2,2.4493e-17
-1.9,-0.19951,-0.013951
-1.9,-0.19805,-0.027835
-1.9,-0.19563,-0.041582
-1.9,-0.19225,-0.055127
-1.9,-0.18794,-0.068404
-1.9,-0.18271,-0.081347
-1.9,-0.17659,-0.093894
-1.9,-0.16961,-0.10598
-1.9,-0.1618,-0.11756
-1.9,-0.15321,-0.12856
-1.9,-0.14387,-0.13893
-1.9,-0.13383,-0.14863
-1.9,-0.12313,-0.1576
-1.9,-0.11184,-0.16581
-1.9,-0.1,-0.17321
-1.9,-0.087674,-0.17976
-1.9,-0.074921,-0.18544
-1.9,-0.061803,-0.19021
-1.9,-0.048384,-0.19406
-1.9,-0.03473,-0.19696
-1.9,-0.020906,-0.1989
-1.9,-0.0069799,-0.19988
-1.9,0.0069799,-0.19988
-1.9,0.020906,-0.1989
-1.9,0.03473,-0.19696
-1.9,0.048384,-0.19406
-1.9,0.061803,-0.19021
